tree	leaf	site	lat	long	loc	use	scan uploaded	bladeL	bladeW	sinusMinL	sinusNextL	petioleL	petioleW	bladeLtoWidestPoint	Area	Mass	Area/Mass	bladeBaseAngle	TotalL.PL+BL	PL/TL	SinusRatio	SinusRatioN	BL/BW	PL/PW	BL/BW.over.PL/PW	BL/BLWP	BW/SinusMinL
MB-MG530	E-B	Assiniboine Forest	49.85392	-97.24828	MB	T	y	120.304	76.438	12.472	52.133	13.485	0.963	78.144	4450.253	0.466	9549.899142	80.522	133.789	0.10079304	0.239234266		1.573876868	14.00311526	0.112394766	1.53951679	6.128768441
MB-MG530	N-A	Assiniboine Forest	49.85392	-97.24828	MB	T	y	137.128	81.758	14.221	55.058	14.428	0.905	81.703	5694.308	0.431	13211.85151	71.589	151.556	0.095199134	0.258291257		1.677242594	15.94254144	0.105205472	1.678371663	5.749103439
MB-MG530	N-B	Assiniboine Forest	49.85392	-97.24828	MB	T	y	126.463	75.909	14.871	39.421	16	0.901	77.513	4961.661	0.422	11757.49052	75.919	142.463	0.112309863	0.377235484		1.665981636	17.75804661	0.093815591	1.631506973	5.104498689
MB-MG530	S-A	Assiniboine Forest	49.85392	-97.24828	MB	T	y	139.396	92.812	12.69	56.333	16.434	0.952	96.562	6951.432	0.512	13577.01563	82.684	155.83	0.105461079	0.225267605		1.501917855	17.26260504	0.087004126	1.443590646	7.313790386
MB-MG530	S-B	Assiniboine Forest	49.85392	-97.24828	MB	T	y	125.972	89.388	15.927	54.678	19.695	0.984	70.588	5818.094	0.448	12986.81696	91.155	145.667	0.13520564	0.291287172		1.409271938	20.0152439	0.070409931	1.784609282	5.612356376
MB-MG530	W-A	Assiniboine Forest	49.85392	-97.24828	MB	T	y	127.508	87.769	24.924	58.501	13.3	1.103	85.98	6258.173	0.512	12222.99414	106.213	140.808	0.094454861	0.426043999		1.452768062	12.05802357	0.120481442	1.482996046	3.521465254
MB-MG530	W-B	Assiniboine Forest	49.85392	-97.24828	MB	T	y	129.902	77.263	12.838	59.294	20.088	0.755	79.697	5099.275	0.372	13707.72849	65.894	149.99	0.133928929	0.216514319		1.681296351	26.60662252	0.063190897	1.62994843	6.018305032
MB-MG529	E-A	Assiniboine Forest	49.85423	-97.2482	MB	T	y	148.973	87.033	29.412	69.553	12.658	1.07	102.463	7652.009	0.468	16350.44658	84.678	161.631	0.078314185	0.422871767		1.711684074	11.82990654	0.144691259	1.453919952	2.959098327
MB-MG529	E-B	Assiniboine Forest	49.85423	-97.2482	MB	T	y	112.768	69.776	27.566	54.623	12.527	0.717	75.086	4340.242	0.233	18627.64807	70.019	125.295	0.099980047	0.50465921		1.616143086	17.47140865	0.092502163	1.501851211	2.531234129
MB-MG529	N-A	Assiniboine Forest	49.85423	-97.2482	MB	T	y	157.612	90.428	29.993	73.092	13.604	0.808	107.121	7429.36	0.482	15413.60996	62.648	171.216	0.079455191	0.410345866		1.742955722	16.83663366	0.103521628	1.471345488	3.01497016
MB-MG529	N-B	Assiniboine Forest	49.85423	-97.2482	MB	T	y	124.132	61.46	26.117	47.359	10.85	0.793	78.036	3989.537	0.294	13569.85374	53.206	134.982	0.080381088	0.55146857		2.019720143	13.68221942	0.147616412	1.590701727	2.3532565
MB-MG529	S-A	Assiniboine Forest	49.85423	-97.2482	MB	T	y	170.876	109.216	38.053	89.242	14.349	1.217	102.953	10567.39	0.681	15517.45962	73.885	185.225	0.077467944	0.426402367		1.564569294	11.79046836	0.132697807	1.659747652	2.870102226
MB-MG529	S-B	Assiniboine Forest	49.85423	-97.2482	MB	T	y	159.126	107.868	30.375	87.244	16.386	0.934	109.228	10005.116	0.618	16189.50809	81.16	175.512	0.093361138	0.348161478		1.475191901	17.54389722	0.084085758	1.456824258	3.551209877
MB-MG529	W-A	Assiniboine Forest	49.85423	-97.2482	MB	T	y	151.4	96.001	34.626	77.093	18.575	1.011	105.57	7903.435	0.557	14189.29084	74.32	169.975	0.109280777	0.449145837		1.577066906	18.37289812	0.085836589	1.434119542	2.772511985
MB-MG529	W-B	Assiniboine Forest	49.85423	-97.2482	MB	T	y	141.878	85.955	28.053	65.194	12.7	1.32	106.792	7505.108	0.529	14187.34972	112.559	154.578	0.082159169	0.430300334		1.650607876	9.621212121	0.171559244	1.328545209	3.064021673
MB-MG528	E-A	Assiniboine Forest	49.85778	-97.24848	MB	T	y	156.541	117.332	36.706	95.736	30.242	1.135	109.923	10742.235	0.685	15682.09489	78.096	186.783	0.16190981	0.38340854		1.334171411	26.64493392	0.050072236	1.424096868	3.196534626
MB-MG528	E-B	Assiniboine Forest	49.85778	-97.24848	MB	T	y	141.567	94.045	34.547	78.073	20.921	0.953	100.788	7589.874	0.463	16392.81641	62.704	162.488	0.128754123	0.442496125		1.505311287	21.95278069	0.068570415	1.404601738	2.722233479
MB-MG528	N-A	Assiniboine Forest	49.85778	-97.24848	MB	T	y	133.302	78.059	28.345	56.769	16.475	0.782	92.69	6357.763	0.362	17562.88122	63.556	149.777	0.109996862	0.499304198		1.707708272	21.06777494	0.081057837	1.438148668	2.753889575
MB-MG528	N-B	Assiniboine Forest	49.85778	-97.24848	MB	T	y	132.814	86.811	50.525	72.77	19.047	0.836	94.063	6838.41	0.404	16926.75743	70.109	151.861	0.125423907	0.694310842		1.529921323	22.78349282	0.067150429	1.411968574	1.718179119
MB-MG528	S-A	Assiniboine Forest	49.85778	-97.24848	MB	T	y	128.073	97.179	45.8	80.287	18.254	0.824	80.064	6803.776	0.345	19721.08986	66.2	146.327	0.124747996	0.570453498		1.31790819	22.15291262	0.059491418	1.599632794	2.121812227
MB-MG528	S-B	Assiniboine Forest	49.85778	-97.24848	MB	T	y	131.576	92.491	34.34	76.661	24.056	0.857	80.677	6658.366	0.377	17661.44828	71.081	155.632	0.154569754	0.447946153		1.422581657	28.07001167	0.050679767	1.630898521	2.693389633
MB-MG528	W-A	Assiniboine Forest	49.85778	-97.24848	MB	T	y	147	106.142	44.777	92.358	23.061	1.002	95.871	9091.644	0.603	15077.35323	74.374	170.061	0.135604283	0.48481994		1.38493716	23.01497006	0.060175493	1.533310386	2.370458048
MB-MG528	W-B	Assiniboine Forest	49.85778	-97.24848	MB	T	y	141.543	99.369	51.367	71.279	25.79	0.86	98.753	7593.907	0.469	16191.69936	65.062	167.333	0.154123813	0.720647035		1.424418078	29.98837209	0.047499013	1.433303292	1.934491016
MN-SD003	E-A	Prairie Moon Nursery	43.89088	-91.64689	MN	T	y	163.868	109.813	25.048	53.57	12.418	2.225	116.955	11581.747	1.237	9362.770412	123.178	176.286	0.070442349	0.467575135		1.492245909	5.581123596	0.267373744	1.401120089	4.384102523
MN-SD003	E-B	Prairie Moon Nursery	43.89088	-91.64689	MN	T	y	147.893	118.966	10.71	25.292	14.792	1.945	102.48	10149.324	1.029	9863.28863	103.436	162.685	0.090924179	0.423454057		1.243153506	7.605141388	0.163462248	1.443140125	11.10793651
MN-SD003	N-A	Prairie Moon Nursery	43.89088	-91.64689	MN	T	y	159.745	102.695	36.6	74.58	12.092	1.615	75.449	9013.314	0.88	10242.40227	77.401	171.837	0.070369012	0.49074819		1.555528507	7.487306502	0.20775542	2.117258015	2.805874317
MN-SD003	N-B	Prairie Moon Nursery	43.89088	-91.64689	MN	T	y	125.255	76.88	37.01	41.41	7.999	1.531	84.984	5345.63	0.519	10299.86513	82.315	133.254	0.060028217	0.893745472		1.629227367	5.224689745	0.311832367	1.473865669	2.077276412
MN-SD003	S-A	Prairie Moon Nursery	43.89088	-91.64689	MN	T	y	197.843	149.11	21.733	78.755	21.191	1.988	106.333	16795.912	2.131	7881.704364	107.948	219.034	0.096747537	0.275957082		1.326825833	10.65945674	0.124474058	1.860598309	6.860994801
MN-SD003	S-B	Prairie Moon Nursery	43.89088	-91.64689	MN	T	y	178.223	125.428	40.012	34.035	15.187	1.558	105.821	11190.65	1.45	7717.689655	101.697	193.41	0.07852231	1.175613339		1.420918774	9.74775353	0.145768845	1.684193119	3.134759572
MN-SD003	W-A	Prairie Moon Nursery	43.89088	-91.64689	MN	F	N	Missing - leaves not in voucher									#DIV/0!		#VALUE!	#VALUE!	#DIV/0!		#VALUE!	#DIV/0!	#VALUE!	#VALUE!	#DIV/0!
MN-SD003	W-B	Prairie Moon Nursery	43.89088	-91.64689	MN	F	N	Missing - leaves not in voucher									#DIV/0!		#VALUE!	#VALUE!	#DIV/0!		#VALUE!	#DIV/0!	#VALUE!	#VALUE!	#DIV/0!
MB-MG518	E-A	Spruce Woods Provincial Park	49.76061	-99.15928	MB	T	y	95.389	52.373	37.174	29.906	10.15	1.243	48.035	3137.772	0.448	7003.955357	76.608	105.539	0.096172979	1.243028155		1.82133924	8.165728077	0.223046766	1.985822838	1.408861032
MB-MG518	E-B	Spruce Woods Provincial Park	49.76061	-99.15928	MB	T	y	88.267	56.027	33.71	37.512	10.776	1.266	47.728	3148.244	0.413	7622.866828	81.457	99.043	0.108801228	0.898645767		1.575436843	8.511848341	0.185087513	1.849375629	1.662029071
MB-MG518	N-A	Spruce Woods Provincial Park	49.76061	-99.15928	MB	T	y	141.489	77.273	43.336	25.747	15.192	1.447	101.884	6646.54	0.836	7950.406699	73.858	156.681	0.096961342	1.683147551		1.831027655	10.49896337	0.174400804	1.388726395	1.783113347
MB-MG518	N-B	Spruce Woods Provincial Park	49.76061	-99.15928	MB	T	y	127.655	70.167	29.449	25.386	13.467	1.554	64.284	5440.959	0.709	7674.131171	72.99	141.122	0.095428069	1.160048846		1.819302521	8.666023166	0.209935109	1.985797399	2.38266155
MB-MG518	S-A	Spruce Woods Provincial Park	49.76061	-99.15928	MB	T	y	117.126	72.031	28.243	33.8	8.657	1.688	88.604	5272.762	0.665	7928.965414	85.507	125.783	0.068824881	0.835591716		1.626049895	5.128554502	0.317058129	1.321904203	2.550401869
